Period,EQ,Social_Search_Impressions,Social_Search_Working_cost,Digital_Impressions,Digital_Working_cost,Print_Impressions.Ads40,Print_Working_Cost.Ads50,OOH_Impressions,OOH_Working_Cost,SOS_pct,Digital_Impressions_pct,CCFOT,Median_Temp,Median_Rainfall,Fuel_Price,Inflation,Trade_Invest,Brand_Equity,Avg_EQ_Price,Any_Promo_pct_ACV,Any_Feat_pct_ACV,Any_Disp_pct_ACV,EQ_Base_Price,Est_ACV_Selling,pct_ACV,Avg_no_of_Items,pct_PromoMarketDollars_Category,RPI_Category,Magazine_Impressions_pct,TV_GRP,Competitor1_RPI,Competitor2_RPI,Competitor3_RPI,Competitor4_RPI,EQ_Category,EQ_Subcategory,pct_PromoMarketDollars_Subcategory,RPI_Subcategory
2016 - Period:1,504.7849334,,,37148.2,2045.282,,,,,7.446882968,,100,32.95,0.515,8.226,0.01325806452,42744.25684,42.41,49.09144714,9.691793869,,1.688895637,1.427532412,8696587915,39.44102455,2.611781593,0.0339,35.8170301,,,97.17336466,35.5573706,44.5027166,63.37726834,1728388.673,331927.5394,0.1627315206,40.5605634
2016 - Period:2,490.2264774,,,50886.8,2370.584,0.000014,0.000015,,,11.67708182,,87.5,34.625,0.27,7.473,0.009938487208,36290.43956,42.41,49.0576119,9.415937736,,1.687951925,1.442716305,8682307085,38.41722445,2.522813601,0.0391,36.38906504,,,97.85075967,37.22307199,45.72007693,62.73174163,1900859.879,334611.3806,0.2316496563,40.04630072
2016 - Period:3,479.2446856,,,253333.2,3180.888,0.0000156,0.0000175,,,0.1028581172,,96,46.7,0.39,8.001,0.007832480534,34852.14166,42.41,49.3675143,5.176683634,,,1.423408014,8706897549,36.49944234,2.477322366,0.0228,36.59998404,,,96.39773904,40.80056283,41.82295335,62.09041692,2036436.906,387148.3582,0.1253937639,40.41111476
2016 - Period:4,489.0574275,,,3426239,13595.398,0.00001624,0.00001875,,,0.2490549959,,100,49.65,0.35,8.767,0.01003430108,24869.55899,43.54357143,50.65763421,6.088273442,,,1.443401166,8660288592,38.1351586,2.520409444,0.0147,38.20185195,,,98.93651904,36.57613962,41.5784288,63.37435775,2113635.013,482489.674,0.05660340395,42.21324561
2016 - Period:5,477.0319938,,,552197.8,3983.134,0.000016496,0.000019375,,,13.33880372,,100,58.1,0.5025,9.277,0.009546344086,61675.32162,43.79,50.62577695,7.827112399,,0.170730805,1.473686853,8644518558,38.62956375,2.497285134,0.0219,38.64880451,31.70243263,25.3,100.5099691,36.03201621,42.60241192,63.29193408,2402211.102,629826.6484,0.06505877517,43.34557783
2016 - Period:6,487.8552994,,,29892.2,1800.344,0.0000165984,0.0000196875,,,13.56221165,,78.57142857,68.5,0.46,9.824,0.009290322581,40458.59237,43.79,51.26898425,9.791996605,1.633989247,,1.457054683,8627353001,39.09772922,2.455277266,0.0107,39.30595813,40.15864586,47.7,99.79650503,36.99643695,44.94302167,68.41594326,2796949.72,806075.7642,0.02991243042,44.07567409
2016 - Period:7,466.3992813,,,6021768,7591.644,0.00001663936,0.00001984375,,,14.39230493,,88,73.7,0.425,9.642,0.008283870968,40945.74781,44.00714286,50.67633334,8.802656562,,,1.437952918,8662698543,39.01776821,2.412757113,0.00765,39.65389732,31.03985479,44.7,101.0961852,37.31430812,43.35840904,65.42086852,2867306.933,828776.1488,0.02178847394,45.07282152
2016 - Period:8,546.0530843,,,1815307.2,7866.572,0.000016655744,0.000019921875,,,15.37612708,,84.61538462,77.35,0.555,9.148,0.008461290323,22026.52625,44.17,48.99297174,13.66005556,5.136756476,7.925423602,1.453832416,8511934271,37.94002737,2.641764423,0.0302,38.322539,32.19556553,32,94.65400559,34.01330448,41.35673961,64.47896031,2813494.081,789109.5698,0.09328705287,42.97452376
2016 - Period:9,464.9256065,,,153633.2,3579.13,0.0000166622976,0.0000199609375,,,22.93253391,,100,75.85,0.56,9.225,0.01102150538,53214.88476,44.17,49.30885217,9.791259803,5.154290993,3.894863652,1.476184679,7928216512,35.69618895,2.55980947,0.0304,38.11096719,38.00281558,16.5,96.23896326,37.37775805,40.57701559,63.26419349,2441916.655,606656.5082,0.1006998452,42.76078571
2016 - Period:10,357.6486931,3919100.6,24839.812,30331,23205.98871,0.00001666491904,0.00001998046875,,,28.52949334,,100,71.05,0.295,9.331,0.0139655914,25343.21025,44.20714286,54.13821437,6.060160312,,0.14777156,1.525389181,7765786227,32.61878034,2.664421184,0.00561,39.59574958,,,105.031551,46.59875087,44.63144345,67.04004941,2017353.844,421134.3688,0.02527051063,43.92596197
2016 - Period:11,298.553287,25075933,99256.76343,,,0.00001666596762,0.00001999023438,,,8.233142972,,100,60.075,0.16,9.442,0.0149844086,53637.19215,44.3,54.75500778,2.732962487,,,1.539994827,7616098981,32.15925481,2.496296773,0.00208,41.02094103,,,111.4366591,35.3278177,46.05511752,69.65789115,1930470.417,349816.2482,0.01144044268,44.54279611
2016 - Period:12,283.7974301,9662476.8,29277.73543,,,0.00001666638705,0.00001999511719,,,2.299508418,,100,49.35,0.095,9.18,0.01608655914,35020.00758,44.3,54.30927518,3.63844938,,,1.53053937,7392126173,31.37152636,2.39209368,0.00508,39.74471047,,,107.501689,39.4146519,44.65742941,67.53503067,1756735.667,297210.5135,0.03548914827,43.41771091
2016 - Period:13,239.2316222,21600,2006.674,,,0.00001666655482,0.00001999755859,,,4.305098958,,100,35.5,0.38,9.462,0.01869677419,31883.33016,44.3,53.47189294,3.087214438,,0.425449354,1.508347865,7405621915,30.28336924,2.075661489,0.0046,39.03128569,,,105.4073686,40.77367979,44.58240014,65.32483421,1628453.07,269453.0058,0.0356594207,42.77692089
2017 - Period:2,355.6522644,5830766.8,26952.73939,,,0.00001666664877,0.00001999938965,,,1.401843216,,100,40.95,0.2475,9.645,0.02688364055,454.7,44.45,51.50271562,11.696305,,,1.58779484,7380596234,30.97894426,2.56394635,0.0498,37.39311863,,,102.1497604,35.95465036,42.73663842,63.97001458,1891870.591,363513.0314,0.2779883868,41.42675522
2017 - Period:3,286.705586,3402795.8,5502.714,,,0.00001666665951,0.00001999969482,,,0.1929914968,3.828396226,96.42857143,43.55,0.24,9.746,0.02212926267,1147.54,44.45,54.82475011,7.823443514,,0.038114894,1.586212912,6985499502,30.42009063,2.315481574,0.027,39.48445383,,,107.7055227,38.89233978,44.82409436,68.54778981,2004044.027,383228.1569,0.1473204006,43.31332652
2017 - Period:4,361.4447145,1989489.2,3713.646,,,6651401,120894.503,,,0.1724872075,,100,53.15,0.74,9.979,0.02073978495,602.87,43.97857143,50.55602627,7.75910162,5.559574532,,1.590633517,5705338201,24.55633687,2.437552555,0.0435,37.07722813,,,99.55116086,35.66301282,41.09825991,62.12917301,2148189.37,459954.8066,0.1979804532,40.3389159
2017 - Period:5,378.2739106,8342124.6,34039.1405,2262738,31259.4159,8910371.9,182109.3639,63009885,300082.9333,21.07852061,0.003852559695,69.56521739,57.25,0.6175,10.046,0.0179311828,877.3,43.85,50.80336884,7.275259871,5.550839042,0.218207121,1.595234936,5765487737,24.60411843,2.437094633,0.0287,38.07171164,41.14668609,34.1,103.7010469,33.49793635,41.82217926,61.96259384,2374795.883,645477.096,0.07799935542,43.10443806
2017 - Period:7,367.5470472,26451030.6,153276.592,7140598.2,99043.67197,9058154.104,207179.2005,43253453.4,350.5505882,15.46300985,,90,75.05,0.6,9.624,0.01543430108,980.42,43.59285714,51.16997032,8.22895238,5.521487651,4.032723608,1.609794582,5375142814,24.40702786,2.495958571,0.0391,39.07415837,55.70909421,54.6,102.2554468,38.9695155,44.27864345,66.46604287,2727062.938,799657.5538,0.1083898422,43.77056602
2017 - Period:8,385.53789,17438860.2,83166.37624,6985266.8,86689.57339,3623261.642,103589.6003,23326167,,4.101180169,,100,74.25,0.465,9.777,0.01643870968,741.2,43.37,51.489262,7.120304418,5.582391396,0.962303407,1.657504847,5359121245,24.80542119,2.446321271,0.0379,39.21004606,100,3.3,103.5906061,35.38346566,45.01946023,67.80109055,2606894.637,746305.3712,0.1077448405,44.20156633
2017 - Period:9,332.1503773,16791295.4,79887.514,1850034.6,8292.645025,1449304.657,51794.80015,11384657.4,,2.681314649,0.01335354934,63.84083045,71.1,0.29,10.278,0.01858032258,931.58,43.37,52.58413227,7.05601396,5.844973325,3.551042056,1.641433095,5525007009,25.13559289,2.414489436,0.0328,39.93345167,7.080950566,2.2,103.8453866,37.59247847,45.4441946,66.66230378,2266495.228,569190.0087,0.1079225092,45.04213455
2017 - Period:10,237.7135844,22401179,97681.98396,3060150,53411.05517,579721.8627,25897.40009,28807.2,,6.950822786,,100,68.9,0.105,10.933,0.02021645161,803.09,43.43,58.94417911,6.517570482,,,1.676323287,5413244913,23.8208583,2.422907861,0.00997,42.15348153,,,115.7900253,40.99914055,48.51507,75.55580103,1997388.511,425334.0232,0.04857907466,46.15429647
2017 - Period:11,193.3007544,5460378,20061.632,8394528.4,170507.7628,231888.7451,12948.70005,,,21.1631708,,100,57.35,0.5675,10.423,0.01872688172,494.75,43.61,59.99146871,0.490239408,,,1.683306273,5112101236,21.84731559,2.417040709,0.000338,43.81510046,,,119.2324944,49.59798765,50.25328013,73.35213669,1882591.148,343376.7067,0.001926531509,47.52295983
2017 - Period:12,179.2925035,13622474.6,48446.084,1165477.6,11915.13265,92755.49804,6474.350036,,,9.209103499,,100,44.05,0.165,10.71,0.02042795699,1158.19,43.61,60.55213491,0.328644909,,,1.701360752,4743181459,20.88503184,2.394601672,0.000238,43.46628595,,,121.7807344,47.32223879,48.11000271,73.75335702,1666900.398,282930.3995,0.001658878424,47.22971507
2017 - Period:13,173.2373049,13429065.2,70851.44307,18300508.6,146194.6165,37102.19923,3237.175028,,,31.3712309,,100,36.25,0.19,10.375,0.01973870968,703.52,43.61,60.67786872,0.538218852,,0.033275573,1.702518409,4462125013,19.89274619,2.355238236,0.00131,43.82917152,,,121.8896469,57.79779387,50.75372632,72.36783163,1610351.525,258255.9299,0.01163862835,46.75195932
2018 - Period:2,284.1832918,7135487.2,19605.934,,,5936.35189,809.293772,,,22.39294385,9.176525529,20,37.55,0.49,10.876,0.02161382488,4672.32,42.78,55.71559339,16.53844835,,0.044761006,1.637888315,4885584886,21.03597474,2.441304552,0.069,39.45845883,,,110.9249541,42.06462378,50.63067266,66.77421557,1791357.204,340550.0339,0.4300507033,42.90814972
2018 - Period:3,274.4307568,986267.6,4560.742,,,2374.540766,404.646896,,,0.4078509795,,100,39.9,0.315,10.738,0.0214281106,1987.18,42.78,45.75784366,13.12176418,5.745515574,0.251034119,1.490420969,4489806007,14.34044224,2.373127402,0.0701,32.48371839,,,89.64980128,33.66406503,41.94094798,57.58349716,1919431.786,384255.6322,0.3287969789,35.48073086
2018 - Period:4,205.4999844,10052303.2,24718.55399,,,949.8163164,202.323458,,,0.2973972143,,81.25,45.9,0.33,11.255,0.02254903226,824.64,42.4425,51.8931499,8.603562298,,1.315427875,1.461149732,3400703123,14.17660408,2.380412964,0.0116,37.44135801,,,100.6896746,37.94362683,47.56254104,63.89726566,2010362.037,468177.8792,0.0472804407,40.79676921
2018 - Period:5,250.555064,15235414,47249.12662,3006588.2,36791.8245,379.9265366,101.161739,,,0.4518056469,4.272028429,70.58823529,62.425,0.395,11.784,0.02454129032,365.43,42.33,49.79009438,8.34197587,,1.136835226,1.455720867,3529935987,14.61139579,2.376467139,0.0282,36.33485966,,,97.0106887,36.12551332,44.80722005,59.01686676,2242374.168,607623.5341,0.07970517722,39.62948816
2018 - Period:7,284.8954797,26489230.8,80510.76945,5686252.6,67940.37067,6567260.788,87161.49044,1876621874,5224427.6,19.13840726,0.7373757274,100,75.75,0.545,11.732,0.02671591398,1041.39,42.605,44.78256864,8.641116382,5.673742193,1.871936212,1.450412242,3277931800,13.55059547,2.500347429,0.0332,33.87605773,48.7066133,36.1,83.88348026,32.36899323,38.55076817,57.73976417,2747208.438,856242.9394,0.08738401723,37.30460734
2018 - Period:8,244.9313589,40397389.4,132844.1983,5871568.6,70004.65554,11113304.32,98714.34522,3119656147,8617309.4,11.59993113,0.5223560268,66.66666667,75.85,0.61,11.708,0.02575806452,1263.44,42.88,47.36709861,7.713256866,,0.976356202,1.423984414,3289530263,13.70158946,2.439409675,0.0198,35.60193658,54.35963436,44.7,87.36488373,34.23075395,41.67147334,60.73202313,2494566.851,718652.2126,0.05843750311,39.03629435
2018 - Period:9,175.4323186,16067933.4,101446.7048,6464034,69705.63268,12058521.73,97390.77261,2713612918,5076808.8,14.09567781,1.242403621,100,76.45,0.59,11.63,0.02349935484,566.47,42.88,53.59841379,1.793797042,,0.972309382,1.491545287,3185984279,13.72856063,2.367340494,0.00167,39.79367136,72.61023408,42.9,100.8296163,39.40118477,45.60053185,69.42991188,2229095.053,577838.0553,0.005624781774,43.41399501
2018 - Period:10,168.1066651,3180503,36362.25299,5621661.8,58293.07467,4823408.69,48695.38631,2058039840,3113695.2,0.5780088996,37.58658072,72.13114754,70.2,0.475,11.703,0.02159741935,2476.67,42.72142857,53.53872788,1.340541225,,1.041042224,1.490024746,3124817100,13.57297273,2.338756906,0.00218,37.88624673,,,100.3921359,43.79453493,46.9843496,67.33642312,1855904.292,414953.9342,0.009903904427,40.99375042
2018 - Period:12,151.6422314,1678740,20713.458,,,771745.3905,12173.84659,21744273.6,83790,47.44218767,88.18270465,63.49949816,46.7,0.13,10.943,0.02023612903,904.01,42.14,49.37999598,7.267790439,5.688590151,4.273441727,1.438995139,2937758346,13.12583198,2.370742719,0.0254,35.1600389,,,94.34874349,36.39758362,42.89246365,59.83749185,1565306.078,272019.8263,0.1645536487,37.55477636
2018 - Period:13,130.9373608,,,,,308698.1562,6086.923307,,,32.88043026,,35.71428571,35.875,0.285,12.286,0.01848387097,3018.03,42.14,49.80659585,8.179073111,,,1.428327771,2904612335,13.03606458,2.356779358,0.0168,35.15751934,,,94.34950641,40.11524723,41.11727898,58.65609009,1504338.62,249237.4935,0.1392431769,37.29735544